Icon,Name,Age,HP,Att.,Att. Type,Reload Time,M. Arm.,P. Arm.,LOS,R,Acc.,Sp.,Tr. Time,Cost,Attack Bonuses
,Militia,I,40,4,M,2.0,0,1,4,0,-,0.9,21,60F 20G,-
,Man-at-Arms,II,45,6,M,2.0,0,1,4,0,-,0.9,21,60F 20G,"Eagle, Bldg"
,Long Swordsman,III,55,9,M,2.0,0,1,4,0,-,0.9,21,60F 20G,"Eagle, Bldg"
,Two-Handed Swordsman,IV,60,11,M,2.0,0,1,5,0,-,0.9,21,60F 20G,"Eagle, Bldg"
,Champion,IV,70,13,M,2.0,1,1,5,0,-,0.9,21,60F 20G,"Eagle, Bldg"
,Spearman,II,45,3,M,3.0,0,0,4,0,-,1.0,22,35F 25W,"Cav, Eleph, Cam, Ship, Bldg, Eagle"
,Pikeman,III,55,4,M,3.0,0,0,4,0,-,1.0,22,35F 25W,"Eleph, Cav, Cam, Ship, Bldg, Eagle"
,Halberdier,IV,60,6,M,3.0,0,0,4,0,-,1.0,22,35F 25W,"Cav, Eleph, Cam, Ship, Bldg, Eagle"
,Eagle Warrior,III,50,4,M,2.0,0,2,6,0,-,1.1,35,20F 50G,"Monk, Siege, Cav, Cam, Ship"
,Elite Eagle Warrior,IV,60,9,M,2.0,0,4,6,0,-,1.3,20,20F 50G,"Monk, Siege, Cav, Cam, Ship"
,Jaguar Warrior,III,50,10,M,2.0,1,0,3,0,-,1.0,20,60F 30G,"Inf, Bldg, Eagle"
,Elite Jaguar Warrior,IV,75,12,M,2.0,2,0,5,0,-,1.0,20,60F 30G,"Inf, Bldg, Eagle"
,Woad Raider,III,65,8,M,2.0,0,1,3,0,-,1.2,10,65F 25G,"Bldg, Eagle"
,Elite Woad Raider,IV,80,13,M,2.0,0,1,5,0,-,1.2,10,65F 25G,"Bldg, Eagle"
,Throwing Axeman,III,50,7,M,2.0,0,0,5,3,100,0.9,17,55F 25G,"Bldg, Eagle"
,Elite Throwing Axeman,IV,60,8,M,2.0,1,0,6,4,100,0.9,17,55F 25G,"Bldg, Eagle"
,Huskarl,III,60,10,M,2.0,0,6,3,0,-,1.05,16,80F 40G,"Arch, Bldg, Eagle"
,Elite Huskarl,IV,70,12,M,2.0,0,8,5,0,-,1.05,16,80F 40G,"Arch, Bldg, Eagle"
,Samurai,III,60,8,M,1.9,1,1,4,0,-,1.0,9,60F 30G,"Unique, Bldg, Eagle"
,Elite Samurai,IV,80,12,M,1.9,1,1,5,0,-,1.0,9,60F 30G,"Unique, Bldg, Eagle"
,Teutonic Knight,III,70,12,M,2.0,5,2,3,0,-,0.65,12,85F 40G,"Bldg, Eagle"
,Elite Teutonic Knight,IV,100,17,M,2.0,10,2,5,0,-,0.65,12,85F 40G,"Bldg, Eagle"
,Berserk,III,48,9,M,2.0,0,1,3,0,-,1.05,16,65F 25G,"Bldg, Eagle"
,Elite Berserk,IV,60,14,M,2.0,2,1,5,0,-,1.05,16,65F 25G,"Bldg, Eagle"
,Archer,II,30,4,P,2.0,0,0,6,4,80,0.96,35,25W 45G,Spear
,Crossbowman,III,35,5,P,2.0,0,0,7,5,85,0.96,27,25W 45G,Spear
,Arbalest,IV,40,6,P,2.0,0,0,7,5,90,0.96,27,25W 45G,Spear
,Skirmisher,II,30,2,P,3.0,0,3,6,4,90,0.96,22,25F 35W,"Arch, Spear"
,Elite Skirmisher,III,35,3,P,3.0,0,4,7,5,90,0.96,22,25F 35W,"Arch, Spear, Cav Arch"
,Cavalry Archer,III,50,6,P,2.0,0,0,5,4,50,1.4,34,40W 70G,Spear
,Heavy Cavalry Archer,IV,60,7,P,2.0,1,0,6,4,50,1.4,27,40W 70G,Spear
,Hand Cannoneer,IV,35,17,P,3.45,1,0,9,7,65,0.96,34,45F 50G,"Infantry, Ram, Spear"
,Longbowman,III,35,6,P,2.0,0,0,7,5,70,0.96,19,35W 40G,Spear
,Elite Longbowman,IV,40,7,P,2.0,0,1,8,6,80,0.96,19,35W 40G,Spear
